Student_ID,Subject,Study_Hours,Sleep_Hours,Attendance_Pct,Assignments_Completed,Daily_Consistency,Study_Days_Remaining,Previous_Marks,Final_Marks
55,Algorithms,3.4,6.4,83.7,62.8,7,6,74.8,65.5
56,Python Programming,1.4,7.6,81.8,86.3,3,5,44.1,47.6
56,DBMS,7.0,7.6,81.8,86.3,3,5,94.5,74.2
56,Data Analytics,5.5,7.6,81.8,86.3,3,5,72.7,74.5
56,Operating Systems,3.7,7.6,81.8,86.3,3,5,43.6,47.2
56,Algorithms,6.7,7.6,81.8,86.3,3,5,53.9,67.6
57,Python Programming,5.9,6.9,86.8,56.6,4,33,52.1,59.6
57,DBMS,1.6,6.9,86.8,56.6,4,33,77.4,50.0
57,Data Analytics,7.7,6.9,86.8,56.6,4,33,48.3,68.9
57,Operating Systems,4.0,6.9,86.8,56.6,4,33,91.9,78.0
57,Algorithms,3.8,6.9,86.8,56.6,4,33,55.1,49.9
58,Python Programming,1.2,7.4,79.5,89.1,5,39,75.8,65.3
58,DBMS,3.6,7.4,79.5,89.1,5,39,87.5,74.8
58,Data Analytics,2.3,7.4,79.5,89.1,5,39,87.8,68.4
58,Operating Systems,6.4,7.4,79.5,89.1,5,39,82.4,81.2
58,Algorithms,5.4,7.4,79.5,89.1,5,39,47.2,66.6
59,Python Programming,2.4,7.7,92.5,53.6,2,13,67.0,56.6
59,DBMS,1.4,7.7,92.5,53.6,2,13,72.0,56.5
59,Data Analytics,3.2,7.7,92.5,53.6,2,13,65.0,52.0
59,Operating Systems,1.1,7.7,92.5,53.6,2,13,44.0,39.3
59,Algorithms,5.2,7.7,92.5,53.6,2,13,56.0,46.0
60,Python Programming,2.0,7.6,87.9,78.9,7,28,45.7,57.9
60,DBMS,5.0,7.6,87.9,78.9,7,28,41.0,55.6
60,Data Analytics,3.4,7.6,87.9,78.9,7,28,82.7,72.3
60,Operating Systems,7.6,7.6,87.9,78.9,7,28,44.0,76.9
60,Algorithms,1.6,7.6,87.9,78.9,7,28,85.3,68.7
61,Python Programming,2.4,5.3,66.1,100.0,7,19,49.2,58.7
61,DBMS,1.7,5.3,66.1,100.0,7,19,75.0,71.5
61,Data Analytics,7.1,5.3,66.1,100.0,7,19,79.3,82.0
61,Operating Systems,6.6,5.3,66.1,100.0,7,19,58.7,72.0
61,Algorithms,6.7,5.3,66.1,100.0,7,19,64.9,78.7
62,Python Programming,2.7,10.0,84.0,100.0,3,16,48.8,56.8
62,DBMS,7.1,10.0,84.0,100.0,3,16,52.1,76.1
62,Data Analytics,5.6,10.0,84.0,100.0,3,16,67.4,71.4
62,Operating Systems,4.9,10.0,84.0,100.0,3,16,79.6,76.7
62,Algorithms,2.4,10.0,84.0,100.0,3,16,77.4,68.8
63,Python Programming,4.0,4.5,77.4,73.6,7,28,59.0,62.2
63,DBMS,3.6,4.5,77.4,73.6,7,28,94.3,63.0
63,Data Analytics,6.1,4.5,77.4,73.6,7,28,66.8,78.7
63,Operating Systems,7.1,4.5,77.4,73.6,7,28,89.5,71.5
63,Algorithms,5.1,4.5,77.4,73.6,7,28,90.2,71.0
64,Python Programming,3.8,5.1,85.3,65.6,6,12,73.1,65.0
64,DBMS,5.4,5.1,85.3,65.6,6,12,60.5,50.4
64,Data Analytics,1.5,5.1,85.3,65.6,6,12,64.0,54.8
64,Operating Systems,1.7,5.1,85.3,65.6,6,12,62.3,60.7
64,Algorithms,5.6,5.1,85.3,65.6,6,12,45.2,67.7
65,Python Programming,6.4,8.6,66.7,87.1,5,5,47.2,60.6
65,DBMS,7.8,8.6,66.7,87.1,5,5,65.0,77.7
65,Data Analytics,3.4,8.6,66.7,87.1,5,5,85.6,64.9
65,Operating Systems,4.0,8.6,66.7,87.1,5,5,53.7,69.5
65,Algorithms,2.2,8.6,66.7,87.1,5,5,49.2,59.2
66,Python Programming,4.9,10.0,76.8,68.0,2,19,69.7,74.9
66,DBMS,1.2,10.0,76.8,68.0,2,19,94.3,61.9
66,Data Analytics,1.4,10.0,76.8,68.0,2,19,75.2,55.1
66,Operating Systems,2.6,10.0,76.8,68.0,2,19,49.9,60.7
66,Algorithms,3.8,10.0,76.8,68.0,2,19,66.4,65.4
67,Python Programming,1.9,7.8,64.6,100.0,4,24,47.3,51.6
67,DBMS,2.0,7.8,64.6,100.0,4,24,91.7,64.5
67,Data Analytics,2.3,7.8,64.6,100.0,4,24,80.2,67.6
67,Operating Systems,2.1,7.8,64.6,100.0,4,24,52.9,54.4
67,Algorithms,2.7,7.8,64.6,100.0,4,24,85.7,68.0
68,Python Programming,5.2,7.8,83.7,78.0,4,37,91.7,78.6
68,DBMS,6.8,7.8,83.7,78.0,4,37,76.7,66.7
68,Data Analytics,2.1,7.8,83.7,78.0,4,37,73.3,65.4
68,Operating Systems,3.2,7.8,83.7,78.0,4,37,87.7,67.7
68,Algorithms,1.8,7.8,83.7,78.0,4,37,75.8,58.1
69,Python Programming,3.6,6.8,89.0,70.5,6,15,56.3,67.1
69,DBMS,5.5,6.8,89.0,70.5,6,15,58.1,73.2
69,Data Analytics,4.9,6.8,89.0,70.5,6,15,60.9,73.6
69,Operating Systems,4.8,6.8,89.0,70.5,6,15,72.8,58.8
69,Algorithms,1.1,6.8,89.0,70.5,6,15,72.3,67.1
70,Python Programming,7.7,5.4,84.5,41.3,3,30,86.6,68.3
70,DBMS,7.4,5.4,84.5,41.3,3,30,84.8,62.0
70,Data Analytics,4.3,5.4,84.5,41.3,3,30,61.7,53.6
70,Operating Systems,4.8,5.4,84.5,41.3,3,30,81.1,62.0
70,Algorithms,6.8,5.4,84.5,41.3,3,30,63.7,70.1
71,Python Programming,2.8,7.6,81.3,63.7,4,8,55.7,52.5
71,DBMS,3.2,7.6,81.3,63.7,4,8,84.2,55.5
71,Data Analytics,5.3,7.6,81.3,63.7,4,8,79.4,71.7
71,Operating Systems,2.9,7.6,81.3,63.7,4,8,62.7,56.0
71,Algorithms,5.8,7.6,81.3,63.7,4,8,50.0,60.1
72,Python Programming,4.0,7.3,98.5,51.1,2,40,44.8,52.4
72,DBMS,6.7,7.3,98.5,51.1,2,40,60.5,58.8
72,Data Analytics,1.0,7.3,98.5,51.1,2,40,75.1,52.1
72,Operating Systems,4.6,7.3,98.5,51.1,2,40,72.6,64.6
72,Algorithms,2.2,7.3,98.5,51.1,2,40,59.8,55.8
73,Python Programming,6.8,7.4,81.8,86.2,2,28,63.3,65.3
73,DBMS,5.7,7.4,81.8,86.2,2,28,45.3,55.0
73,Data Analytics,5.1,7.4,81.8,86.2,2,28,49.2,69.5
73,Operating Systems,6.2,7.4,81.8,86.2,2,28,87.5,74.5
73,Algorithms,1.2,7.4,81.8,86.2,2,28,75.3,55.5
74,Python Programming,7.9,10.0,89.6,86.0,3,29,47.5,65.9
74,DBMS,5.9,10.0,89.6,86.0,3,29,62.2,80.2
74,Data Analytics,5.8,10.0,89.6,86.0,3,29,94.5,80.1
74,Operating Systems,1.9,10.0,89.6,86.0,3,29,45.7,56.9
74,Algorithms,2.9,10.0,89.6,86.0,3,29,44.4,64.7
75,Python Programming,4.6,5.5,74.2,92.4,4,17,43.7,47.8
75,DBMS,6.6,5.5,74.2,92.4,4,17,52.9,70.0
75,Data Analytics,5.6,5.5,74.2,92.4,4,17,69.3,68.1
75,Operating Systems,3.3,5.5,74.2,92.4,4,17,58.3,60.3
75,Algorithms,6.1,5.5,74.2,92.4,4,17,65.6,77.5
76,Python Programming,3.9,6.0,81.0,76.7,5,20,63.2,62.8
76,DBMS,6.8,6.0,81.0,76.7,5,20,40.1,49.8
76,Data Analytics,1.8,6.0,81.0,76.7,5,20,93.6,62.7
76,Operating Systems,1.1,6.0,81.0,76.7,5,20,80.5,54.8
76,Algorithms,5.7,6.0,81.0,76.7,5,20,45.1,63.9
77,Python Programming,1.4,6.0,88.1,77.3,2,38,46.5,56.2
77,DBMS,2.6,6.0,88.1,77.3,2,38,58.8,44.1
